sample no	grandparent	Acc. human 1	Acc. human 2	Acc. GPT2-xl	definition-context	model match score	aligned together	synset	definition	context word	context	correct context word	correct context	
1	abstraction.n.06	1.00	1.00	0.22	5-2	-28.8	True	volume.n.01	the amount of 3-dimensional space occupied by an object	time	As <XXX> has passed and science has progressed , the speed of military vehicles has increased , the range of missiles has been extended , the use of target-hunting noses on the projectiles has been adopted , and the range and breadth of message sending has increased .	volume	Following observation of the fact that the reaction rates of supposedly identical reaction mixtures prepared on the same filling manifold and exposed under identical conditions often differed by several hundred per cent , a systematic series of experiments was undertaken to see whether the difficulty could be ascribed to the method of preparing the chlorine , to the effects of oxygen or moisture or to the effect of surface to <XXX> ratio in the reaction tubes .
1	abstraction.n.06	1.00	1.00	0.22	5-5	-35.6	False	volume.n.01	the amount of 3-dimensional space occupied by an object	volume	Following observation of the fact that the reaction rates of supposedly identical reaction mixtures prepared on the same filling manifold and exposed under identical conditions often differed by several hundred per cent , a systematic series of experiments was undertaken to see whether the difficulty could be ascribed to the method of preparing the chlorine , to the effects of oxygen or moisture or to the effect of surface to <XXX> ratio in the reaction tubes .	volume	Following observation of the fact that the reaction rates of supposedly identical reaction mixtures prepared on the same filling manifold and exposed under identical conditions often differed by several hundred per cent , a systematic series of experiments was undertaken to see whether the difficulty could be ascribed to the method of preparing the chlorine , to the effects of oxygen or moisture or to the effect of surface to <XXX> ratio in the reaction tubes .
1	abstraction.n.06	1.00	1.00	0.22	6-6	-172.9	False	relationship.n.01	a relation between people; (`relationship' is often used where `relation' would serve, as in `the relationship between inflation and unemployment', but the preferred usage of `relationship' is for human relations or states of relatedness)	relationship	The <XXX> between particle size and infectious dose is illustrated in Table 1 .	relationship	The <XXX> between particle size and infectious dose is illustrated in Table 1 .
1	abstraction.n.06	1.00	1.00	0.22	6-8	-158.3	True	relationship.n.01	a relation between people; (`relationship' is often used where `relation' would serve, as in `the relationship between inflation and unemployment', but the preferred usage of `relationship' is for human relations or states of relatedness)	voice	`` Deegan '' , the manager said , his <XXX> pitched low , quivering .	relationship	The <XXX> between particle size and infectious dose is illustrated in Table 1 .
1	abstraction.n.06	1.00	1.00	0.22	7-5	-35.8	True	indication.n.01	something that serves to indicate or suggest	volume	Following observation of the fact that the reaction rates of supposedly identical reaction mixtures prepared on the same filling manifold and exposed under identical conditions often differed by several hundred per cent , a systematic series of experiments was undertaken to see whether the difficulty could be ascribed to the method of preparing the chlorine , to the effects of oxygen or moisture or to the effect of surface to <XXX> ratio in the reaction tubes .	indication	Every detail in his interpretation has been beautifully thought out , and of these I would especially cite the delicious landler touch the pianist brings to the fifth variation ( an obvious <XXX> that he is playing with Viennese musicians ) , and the gossamer shading throughout .
1	abstraction.n.06	1.00	1.00	0.22	7-7	-32.3	False	indication.n.01	something that serves to indicate or suggest	indication	Every detail in his interpretation has been beautifully thought out , and of these I would especially cite the delicious landler touch the pianist brings to the fifth variation ( an obvious <XXX> that he is playing with Viennese musicians ) , and the gossamer shading throughout .	indication	Every detail in his interpretation has been beautifully thought out , and of these I would especially cite the delicious landler touch the pianist brings to the fifth variation ( an obvious <XXX> that he is playing with Viennese musicians ) , and the gossamer shading throughout .
1	abstraction.n.06	1.00	1.00	0.22	8-7	-50.0	True	voice.n.02	the sound made by the vibration of vocal folds modified by the resonance of the vocal tract	indication	Every detail in his interpretation has been beautifully thought out , and of these I would especially cite the delicious landler touch the pianist brings to the fifth variation ( an obvious <XXX> that he is playing with Viennese musicians ) , and the gossamer shading throughout .	voice	`` Deegan '' , the manager said , his <XXX> pitched low , quivering .
1	abstraction.n.06	1.00	1.00	0.22	8-8	-52.3	False	voice.n.02	the sound made by the vibration of vocal folds modified by the resonance of the vocal tract	voice	`` Deegan '' , the manager said , his <XXX> pitched low , quivering .	voice	`` Deegan '' , the manager said , his <XXX> pitched low , quivering .
1	abstraction.n.06	1.00	1.00	0.22	9-1	-58.1	True	interval.n.02	a set containing all points (or all real numbers) between two given endpoints	state	In the above development we have applied the thermodynamics of equilibrium ( referred to by some as thermostatics ) to the steady <XXX> .	interval	We have shown that the graph of f contains at least one component whose inverse is the entire <XXX> [ 0 , T ] , and whose multiplicity is odd .
1	abstraction.n.06	1.00	1.00	0.22	9-9	-60.9	False	interval.n.02	a set containing all points (or all real numbers) between two given endpoints	interval	We have shown that the graph of f contains at least one component whose inverse is the entire <XXX> [ 0 , T ] , and whose multiplicity is odd .	interval	We have shown that the graph of f contains at least one component whose inverse is the entire <XXX> [ 0 , T ] , and whose multiplicity is odd .
2	material.n.01	0.71	0.71	0.71	1-1	-71.2	False	dust.n.01	fine powdery material such as dry earth or pollen that can be blown about in the air	dust	He came spurring and whooping down the road , his horse kicking up clouds of <XXX> , shouting :	dust	He came spurring and whooping down the road , his horse kicking up clouds of <XXX> , shouting :
2	material.n.01	0.71	0.71	0.71	1-6	-60.0	True	dust.n.01	fine powdery material such as dry earth or pollen that can be blown about in the air	soil	The thing is that these bees love a fine-grained <XXX> that is moist ; yet the water in the ground should not be stagnant either .	dust	He came spurring and whooping down the road , his horse kicking up clouds of <XXX> , shouting :
2	material.n.01	0.71	0.71	0.71	6-1	-49.4	True	soil.n.02	the part of the earth's surface consisting of humus and disintegrated rock	dust	He came spurring and whooping down the road , his horse kicking up clouds of <XXX> , shouting :	soil	The thing is that these bees love a fine-grained <XXX> that is moist ; yet the water in the ground should not be stagnant either .
2	material.n.01	0.71	0.71	0.71	6-6	-48.6	False	soil.n.02	the part of the earth's surface consisting of humus and disintegrated rock	soil	The thing is that these bees love a fine-grained <XXX> that is moist ; yet the water in the ground should not be stagnant either .	soil	The thing is that these bees love a fine-grained <XXX> that is moist ; yet the water in the ground should not be stagnant either .
4	message.n.02	0.67	1.00	0.00	1-1	-31.6	False	suggestion.n.02	a proposal offered for acceptance or rejection	suggestions	In of all the <XXX> that were made , his was the silliest the possessive his represents his suggestion and is stressed .	suggestions	In of all the <XXX> that were made , his was the silliest the possessive his represents his suggestion and is stressed .
4	message.n.02	0.67	1.00	0.00	1-3	-27.9	True	suggestion.n.02	a proposal offered for acceptance or rejection	spirit	As part of the same arrangement , Torrio had , in the <XXX> of peace and good will , and in exchange for armed support in the April election campaign , bestowed upon O ' Banion a third share in the Hawthorne Smoke Shop proceeds and a cut in the Cicero beer trade .	suggestions	In of all the <XXX> that were made , his was the silliest the possessive his represents his suggestion and is stressed .
4	message.n.02	0.67	1.00	0.00	2-2	-76.4	False	explanation.n.01	a statement that makes something comprehensible by describing the relevant structure or operation or circumstances etc.	explanation	When Mayor Dever heard of the banquet he summoned Hughes for an <XXX> of why he had been dishonouring the police department by consorting with these felons and fixers .	explanation	When Mayor Dever heard of the banquet he summoned Hughes for an <XXX> of why he had been dishonouring the police department by consorting with these felons and fixers .
4	message.n.02	0.67	1.00	0.00	2-5	-78.1	True	explanation.n.01	a statement that makes something comprehensible by describing the relevant structure or operation or circumstances etc.	credit	A major portion of the <XXX> should also go to flautist Haumd for his rendering of the almost impossible `` Indianapolis '' movement in the Baslot .	explanation	When Mayor Dever heard of the banquet he summoned Hughes for an <XXX> of why he had been dishonouring the police department by consorting with these felons and fixers .
4	message.n.02	0.67	1.00	0.00	3-3	-29.2	False	intent.n.02	the intended meaning of a communication	spirit	As part of the same arrangement , Torrio had , in the <XXX> of peace and good will , and in exchange for armed support in the April election campaign , bestowed upon O ' Banion a third share in the Hawthorne Smoke Shop proceeds and a cut in the Cicero beer trade .	spirit	As part of the same arrangement , Torrio had , in the <XXX> of peace and good will , and in exchange for armed support in the April election campaign , bestowed upon O ' Banion a third share in the Hawthorne Smoke Shop proceeds and a cut in the Cicero beer trade .
4	message.n.02	0.67	1.00	0.00	3-6	-25.4	True	intent.n.02	the intended meaning of a communication	comments	Certainly one of the most important <XXX> that can be made upon the spiritual and cultural life of any period of Western civilization during the past sixteen or seventeen centuries has to do with the way in which its leaders have read and interpreted the Bible .	spirit	As part of the same arrangement , Torrio had , in the <XXX> of peace and good will , and in exchange for armed support in the April election campaign , bestowed upon O ' Banion a third share in the Hawthorne Smoke Shop proceeds and a cut in the Cicero beer trade .
4	message.n.02	0.67	1.00	0.00	4-2	-33.7	True	summary.n.01	a brief statement that presents the main points in a concise form	explanation	When Mayor Dever heard of the banquet he summoned Hughes for an <XXX> of why he had been dishonouring the police department by consorting with these felons and fixers .	summary	A <XXX> of meteorite data , prepared by Whipple ( 1958 ) on the basis of photographic , visual , and radar evidence , is given in Table 5 - 1 .
4	message.n.02	0.67	1.00	0.00	4-4	-41.2	False	summary.n.01	a brief statement that presents the main points in a concise form	summary	A <XXX> of meteorite data , prepared by Whipple ( 1958 ) on the basis of photographic , visual , and radar evidence , is given in Table 5 - 1 .	summary	A <XXX> of meteorite data , prepared by Whipple ( 1958 ) on the basis of photographic , visual , and radar evidence , is given in Table 5 - 1 .
4	message.n.02	0.67	1.00	0.00	5-4	-14.6	True	recognition.n.03	approval	summary	A <XXX> of meteorite data , prepared by Whipple ( 1958 ) on the basis of photographic , visual , and radar evidence , is given in Table 5 - 1 .	credit	A major portion of the <XXX> should also go to flautist Haumd for his rendering of the almost impossible `` Indianapolis '' movement in the Baslot .
4	message.n.02	0.67	1.00	0.00	5-5	-13.3	False	recognition.n.03	approval	credit	A major portion of the <XXX> should also go to flautist Haumd for his rendering of the almost impossible `` Indianapolis '' movement in the Baslot .	credit	A major portion of the <XXX> should also go to flautist Haumd for his rendering of the almost impossible `` Indianapolis '' movement in the Baslot .
4	message.n.02	0.67	1.00	0.00	6-1	-60.6	True	comment.n.02	a written explanation or criticism or illustration that is added to a book or other textual material	suggestions	In of all the <XXX> that were made , his was the silliest the possessive his represents his suggestion and is stressed .	comments	Certainly one of the most important <XXX> that can be made upon the spiritual and cultural life of any period of Western civilization during the past sixteen or seventeen centuries has to do with the way in which its leaders have read and interpreted the Bible .
4	message.n.02	0.67	1.00	0.00	6-6	-64.5	False	comment.n.02	a written explanation or criticism or illustration that is added to a book or other textual material	comments	Certainly one of the most important <XXX> that can be made upon the spiritual and cultural life of any period of Western civilization during the past sixteen or seventeen centuries has to do with the way in which its leaders have read and interpreted the Bible .	comments	Certainly one of the most important <XXX> that can be made upon the spiritual and cultural life of any period of Western civilization during the past sixteen or seventeen centuries has to do with the way in which its leaders have read and interpreted the Bible .
5	communication.n.02	1.00	1.00	0.67	2-2	-34.9	False	speech.n.02	(language) communication by word of mouth	languages	This explanation of tone difficulties , however , does not apply in all <XXX> .	languages	This explanation of tone difficulties , however , does not apply in all <XXX> .
5	communication.n.02	1.00	1.00	0.67	2-4	-31.0	True	speech.n.02	(language) communication by word of mouth	sight	The fish hawk flew on and was lost from <XXX> .	languages	This explanation of tone difficulties , however , does not apply in all <XXX> .
5	communication.n.02	1.00	1.00	0.67	4-2	-17.6	True	sight.n.02	anything that is seen	languages	This explanation of tone difficulties , however , does not apply in all <XXX> .	sight	The fish hawk flew on and was lost from <XXX> .
5	communication.n.02	1.00	1.00	0.67	4-4	-14.0	False	sight.n.02	anything that is seen	sight	The fish hawk flew on and was lost from <XXX> .	sight	The fish hawk flew on and was lost from <XXX> .
6	act.n.02	1.00	1.00	0.43	1-1	-26.8	False	change.n.03	the action of changing something	change	Since the details of the elections were settled the <XXX> of government had no direct effect on the technical aspects of the elections , and may have been more important as an indication of royal displeasure with the U.N.F.P.	change	Since the details of the elections were settled the <XXX> of government had no direct effect on the technical aspects of the elections , and may have been more important as an indication of royal displeasure with the U.N.F.P.
6	act.n.02	1.00	1.00	0.43	1-7	-25.2	True	change.n.03	the action of changing something	emission	The radio <XXX> of a planet was first detected in 1955 , when Burke and Franklin ( 1955 ) identified the origin of interference like radio noise on their records at about 15 meters wave length as <XXX> from Jupiter .	change	Since the details of the elections were settled the <XXX> of government had no direct effect on the technical aspects of the elections , and may have been more important as an indication of royal displeasure with the U.N.F.P.
6	act.n.02	1.00	1.00	0.43	3-3	-25.6	False	choice.n.02	the act of choosing or selecting	choice	When negotiating with your union , do you make sure employees have a <XXX> between new benefits and their cents per hour cost in wages .	choice	When negotiating with your union , do you make sure employees have a <XXX> between new benefits and their cents per hour cost in wages .
6	act.n.02	1.00	1.00	0.43	3-5	-17.4	True	choice.n.02	the act of choosing or selecting	mistake	Yet often fear persists because , even with the most rigid ritual , one is never quite free from the uneasy feeling that one might make some <XXX> or that in every previous execution one had been unaware of the really decisive act .	choice	When negotiating with your union , do you make sure employees have a <XXX> between new benefits and their cents per hour cost in wages .
6	act.n.02	1.00	1.00	0.43	5-1	-56.1	True	mistake.n.01	a wrong action attributable to bad judgment or ignorance or inattention	change	Since the details of the elections were settled the <XXX> of government had no direct effect on the technical aspects of the elections , and may have been more important as an indication of royal displeasure with the U.N.F.P.	mistake	Yet often fear persists because , even with the most rigid ritual , one is never quite free from the uneasy feeling that one might make some <XXX> or that in every previous execution one had been unaware of the really decisive act .
6	act.n.02	1.00	1.00	0.43	5-5	-56.3	False	mistake.n.01	a wrong action attributable to bad judgment or ignorance or inattention	mistake	Yet often fear persists because , even with the most rigid ritual , one is never quite free from the uneasy feeling that one might make some <XXX> or that in every previous execution one had been unaware of the really decisive act .	mistake	Yet often fear persists because , even with the most rigid ritual , one is never quite free from the uneasy feeling that one might make some <XXX> or that in every previous execution one had been unaware of the really decisive act .
6	act.n.02	1.00	1.00	0.43	7-3	-45.6	True	emission.n.01	the act of emitting; causing to flow forth	choice	When negotiating with your union , do you make sure employees have a <XXX> between new benefits and their cents per hour cost in wages .	emission	The radio <XXX> of a planet was first detected in 1955 , when Burke and Franklin ( 1955 ) identified the origin of interference like radio noise on their records at about 15 meters wave length as <XXX> from Jupiter .
6	act.n.02	1.00	1.00	0.43	7-7	-49.4	False	emission.n.01	the act of emitting; causing to flow forth	emission	The radio <XXX> of a planet was first detected in 1955 , when Burke and Franklin ( 1955 ) identified the origin of interference like radio noise on their records at about 15 meters wave length as <XXX> from Jupiter .	emission	The radio <XXX> of a planet was first detected in 1955 , when Burke and Franklin ( 1955 ) identified the origin of interference like radio noise on their records at about 15 meters wave length as <XXX> from Jupiter .
7	thing.n.12	0.30	0.80	0.50	1-1	-34.5	False	need.n.02	anything that is necessary but lacking	needs	In view of the increasing shortage of usable surface and ground water in many parts of the Nation and the importance of finding new sources of supply to meet its present and future water <XXX> , it is the policy of the Congress to provide for the development of practicable low-cost means for the large-scale production of water of a quality suitable for municipal , industrial , agricultural , and other beneficial consumptive uses from saline water , and for studies and research related thereto .	needs	In view of the increasing shortage of usable surface and ground water in many parts of the Nation and the importance of finding new sources of supply to meet its present and future water <XXX> , it is the policy of the Congress to provide for the development of practicable low-cost means for the large-scale production of water of a quality suitable for municipal , industrial , agricultural , and other beneficial consumptive uses from saline water , and for studies and research related thereto .
7	thing.n.12	0.30	0.80	0.50	1-2	-34.5	True	need.n.02	anything that is necessary but lacking	groups	( 3 ) For anionics , these micelles appear to be roughly spherical assemblages in which the hydrocarbon tails come together so that the polar <XXX> ( the ionized ends ) face outward towards the aqueous continuous phase .	needs	In view of the increasing shortage of usable surface and ground water in many parts of the Nation and the importance of finding new sources of supply to meet its present and future water <XXX> , it is the policy of the Congress to provide for the development of practicable low-cost means for the large-scale production of water of a quality suitable for municipal , industrial , agricultural , and other beneficial consumptive uses from saline water , and for studies and research related thereto .
7	thing.n.12	0.30	0.80	0.50	2-2	-66.6	False	group.n.02	(chemistry) two or more atoms bound together as a single unit and forming part of a molecule	groups	( 3 ) For anionics , these micelles appear to be roughly spherical assemblages in which the hydrocarbon tails come together so that the polar <XXX> ( the ionized ends ) face outward towards the aqueous continuous phase .	groups	( 3 ) For anionics , these micelles appear to be roughly spherical assemblages in which the hydrocarbon tails come together so that the polar <XXX> ( the ionized ends ) face outward towards the aqueous continuous phase .
7	thing.n.12	0.30	0.80	0.50	2-7	-62.7	True	group.n.02	(chemistry) two or more atoms bound together as a single unit and forming part of a molecule	adjunct	In the first of these sentences if by is the complement of come and Tuesday is an <XXX> of time equivalent to on Tuesday , there will be strong stress on by in the spoken language ; but if a complement for come is implied and by Tuesday is a prepositional unit used as an <XXX> , by will be unstressed or lightly stressed at most .	groups	( 3 ) For anionics , these micelles appear to be roughly spherical assemblages in which the hydrocarbon tails come together so that the polar <XXX> ( the ionized ends ) face outward towards the aqueous continuous phase .
7	thing.n.12	0.30	0.80	0.50	5-1	-44.2	True	sea.n.01	a division of an ocean or a large body of salt water partially enclosed by land	needs	In view of the increasing shortage of usable surface and ground water in many parts of the Nation and the importance of finding new sources of supply to meet its present and future water <XXX> , it is the policy of the Congress to provide for the development of practicable low-cost means for the large-scale production of water of a quality suitable for municipal , industrial , agricultural , and other beneficial consumptive uses from saline water , and for studies and research related thereto .	sea	A measure of the total mass accretion of meteoritic material by the Earth is obtained from analyses of deep <XXX> sediments and dust collected in remote regions ( Pettersson , 1960 ) .
7	thing.n.12	0.30	0.80	0.50	5-5	-49.5	False	sea.n.01	a division of an ocean or a large body of salt water partially enclosed by land	sea	A measure of the total mass accretion of meteoritic material by the Earth is obtained from analyses of deep <XXX> sediments and dust collected in remote regions ( Pettersson , 1960 ) .	sea	A measure of the total mass accretion of meteoritic material by the Earth is obtained from analyses of deep <XXX> sediments and dust collected in remote regions ( Pettersson , 1960 ) .
7	thing.n.12	0.30	0.80	0.50	7-7	-45.3	False	adjunct.n.01	something added to another thing but not an essential part of it	adjunct	In the first of these sentences if by is the complement of come and Tuesday is an <XXX> of time equivalent to on Tuesday , there will be strong stress on by in the spoken language ; but if a complement for come is implied and by Tuesday is a prepositional unit used as an <XXX> , by will be unstressed or lightly stressed at most .	adjunct	In the first of these sentences if by is the complement of come and Tuesday is an <XXX> of time equivalent to on Tuesday , there will be strong stress on by in the spoken language ; but if a complement for come is implied and by Tuesday is a prepositional unit used as an <XXX> , by will be unstressed or lightly stressed at most .
7	thing.n.12	0.30	0.80	0.50	7-9	-42.5	True	adjunct.n.01	something added to another thing but not an essential part of it	world	Living with his watercolors is a vicarious experience of seeing nature distilled through the eyes of a sensitive interpretor , a breath and breadth of the outdoor <XXX> to help man honor the Creator of it all .	adjunct	In the first of these sentences if by is the complement of come and Tuesday is an <XXX> of time equivalent to on Tuesday , there will be strong stress on by in the spoken language ; but if a complement for come is implied and by Tuesday is a prepositional unit used as an <XXX> , by will be unstressed or lightly stressed at most .
7	thing.n.12	0.30	0.80	0.50	9-5	-36.7	True	world.n.06	a part of the earth that can be considered separately	sea	A measure of the total mass accretion of meteoritic material by the Earth is obtained from analyses of deep <XXX> sediments and dust collected in remote regions ( Pettersson , 1960 ) .	world	Living with his watercolors is a vicarious experience of seeing nature distilled through the eyes of a sensitive interpretor , a breath and breadth of the outdoor <XXX> to help man honor the Creator of it all .
7	thing.n.12	0.30	0.80	0.50	9-9	-36.7	False	world.n.06	a part of the earth that can be considered separately	world	Living with his watercolors is a vicarious experience of seeing nature distilled through the eyes of a sensitive interpretor , a breath and breadth of the outdoor <XXX> to help man honor the Creator of it all .	world	Living with his watercolors is a vicarious experience of seeing nature distilled through the eyes of a sensitive interpretor , a breath and breadth of the outdoor <XXX> to help man honor the Creator of it all .
8	abstraction.n.06	1.00	1.00	0.00	1-1	-28.2	False	event.n.01	something that happens at a given place and time	events	The sequence of <XXX> leading to his important discovery still remains ambiguous but it seems that one of the advanced students at the university related that the first direct event that led to the publication of Oersted 's discovery occurred during a private lecture made before a group of other advanced students in the spring of 1820 .	events	The sequence of <XXX> leading to his important discovery still remains ambiguous but it seems that one of the advanced students at the university related that the first direct event that led to the publication of Oersted 's discovery occurred during a private lecture made before a group of other advanced students in the spring of 1820 .
8	abstraction.n.06	1.00	1.00	0.00	1-4	-30.7	True	event.n.01	something that happens at a given place and time	system	The <XXX> is composed of three credit services , Federal Land Banks and National Farm Loan Associations , Federal Intermediate ( short-term ) Credit Banks , and Banks for Cooperatives .	events	The sequence of <XXX> leading to his important discovery still remains ambiguous but it seems that one of the advanced students at the university related that the first direct event that led to the publication of Oersted 's discovery occurred during a private lecture made before a group of other advanced students in the spring of 1820 .
8	abstraction.n.06	1.00	1.00	0.00	2-2	-44.4	False	signal.n.01	any nonverbal action or gesture that encodes a message	sign	This manifestation may be an early <XXX> of multiple sclerosis or the beginning of sewer 's cramp .	sign	This manifestation may be an early <XXX> of multiple sclerosis or the beginning of sewer 's cramp .
8	abstraction.n.06	1.00	1.00	0.00	2-3	-43.2	True	signal.n.01	any nonverbal action or gesture that encodes a message	comparison	The casual seduction of a seventeen year old bluestocking seemed tame by <XXX> .	sign	This manifestation may be an early <XXX> of multiple sclerosis or the beginning of sewer 's cramp .
8	abstraction.n.06	1.00	1.00	0.00	3-1	-28.8	True	comparison.n.02	relation based on similarities and differences	events	The sequence of <XXX> leading to his important discovery still remains ambiguous but it seems that one of the advanced students at the university related that the first direct event that led to the publication of Oersted 's discovery occurred during a private lecture made before a group of other advanced students in the spring of 1820 .	comparison	The casual seduction of a seventeen year old bluestocking seemed tame by <XXX> .
8	abstraction.n.06	1.00	1.00	0.00	3-3	-30.0	False	comparison.n.02	relation based on similarities and differences	comparison	The casual seduction of a seventeen year old bluestocking seemed tame by <XXX> .	comparison	The casual seduction of a seventeen year old bluestocking seemed tame by <XXX> .
8	abstraction.n.06	1.00	1.00	0.00	4-4	-54.1	False	system.n.02	a group of independent but interrelated elements comprising a unified whole	system	The <XXX> is composed of three credit services , Federal Land Banks and National Farm Loan Associations , Federal Intermediate ( short-term ) Credit Banks , and Banks for Cooperatives .	system	The <XXX> is composed of three credit services , Federal Land Banks and National Farm Loan Associations , Federal Intermediate ( short-term ) Credit Banks , and Banks for Cooperatives .
8	abstraction.n.06	1.00	1.00	0.00	4-6	-42.6	True	system.n.02	a group of independent but interrelated elements comprising a unified whole	point	It is at this <XXX> in his life that the mature Prokofieff emerges .	system	The <XXX> is composed of three credit services , Federal Land Banks and National Farm Loan Associations , Federal Intermediate ( short-term ) Credit Banks , and Banks for Cooperatives .
8	abstraction.n.06	1.00	1.00	0.00	5-5	-67.4	False	quality.n.01	an essential and distinguishing attribute of something or someone; --Shakespeare	quality	The amount of water frontage , the quantity and <XXX> of the water , and the recreation afforded by it are important .	quality	The amount of water frontage , the quantity and <XXX> of the water , and the recreation afforded by it are important .
8	abstraction.n.06	1.00	1.00	0.00	5-8	-63.1	True	quality.n.01	an essential and distinguishing attribute of something or someone; --Shakespeare	language	Of the longer pieces of the volume none is so memorable as `` Nameless and Immortal '' , which at once took rank among the finest poems ever written in the Swedish <XXX> .	quality	The amount of water frontage , the quantity and <XXX> of the water , and the recreation afforded by it are important .
8	abstraction.n.06	1.00	1.00	0.00	6-6	-18.0	False	point.n.06	an instant of time	point	It is at this <XXX> in his life that the mature Prokofieff emerges .	point	It is at this <XXX> in his life that the mature Prokofieff emerges .
8	abstraction.n.06	1.00	1.00	0.00	6-7	-20.2	True	point.n.06	an instant of time	probability	The major question in this chapter is : What is the <XXX> of exactly x successes in n trials ?	point	It is at this <XXX> in his life that the mature Prokofieff emerges .
8	abstraction.n.06	1.00	1.00	0.00	7-5	-90.8	True	probability.n.01	a measure of how likely it is that some event will occur; a number expressing the ratio of favorable cases to the whole number of cases possible	quality	The amount of water frontage , the quantity and <XXX> of the water , and the recreation afforded by it are important .	probability	The major question in this chapter is : What is the <XXX> of exactly x successes in n trials ?
8	abstraction.n.06	1.00	1.00	0.00	7-7	-95.6	False	probability.n.01	a measure of how likely it is that some event will occur; a number expressing the ratio of favorable cases to the whole number of cases possible	probability	The major question in this chapter is : What is the <XXX> of exactly x successes in n trials ?	probability	The major question in this chapter is : What is the <XXX> of exactly x successes in n trials ?
8	abstraction.n.06	1.00	1.00	0.00	8-8	-61.4	False	language.n.01	a systematic means of communicating by the use of sounds or conventional symbols	language	Of the longer pieces of the volume none is so memorable as `` Nameless and Immortal '' , which at once took rank among the finest poems ever written in the Swedish <XXX> .	language	Of the longer pieces of the volume none is so memorable as `` Nameless and Immortal '' , which at once took rank among the finest poems ever written in the Swedish <XXX> .
8	abstraction.n.06	1.00	1.00	0.00	8-9	-54.4	True	language.n.01	a systematic means of communicating by the use of sounds or conventional symbols	control	By monitoring , we mean some system of <XXX> over the types of information sent from the various centers .	language	Of the longer pieces of the volume none is so memorable as `` Nameless and Immortal '' , which at once took rank among the finest poems ever written in the Swedish <XXX> .
8	abstraction.n.06	1.00	1.00	0.00	9-2	-62.5	True	control.n.02	a relation of constraint of one entity (thing or person or group) by another	sign	This manifestation may be an early <XXX> of multiple sclerosis or the beginning of sewer 's cramp .	control	By monitoring , we mean some system of <XXX> over the types of information sent from the various centers .
8	abstraction.n.06	1.00	1.00	0.00	9-9	-66.2	False	control.n.02	a relation of constraint of one entity (thing or person or group) by another	control	By monitoring , we mean some system of <XXX> over the types of information sent from the various centers .	control	By monitoring , we mean some system of <XXX> over the types of information sent from the various centers .
